epoch4, acc0.682049541907024
epoch9, acc0.6979979640312182
epoch14, acc0.7329487614523243
epoch19, acc0.7546657617916526
epoch24, acc0.7862232779097387
epoch29, acc0.8055649813369529
epoch34, acc0.8181201221581269
epoch39, acc0.826942653545979
epoch44, acc0.8513742789277231
epoch49, acc0.8700373260943333
epoch54, acc0.8819138106549033
epoch59, acc0.8839497794367153
epoch64, acc0.8924329826942654
epoch69, acc0.8941296233457754
epoch74, acc0.8971835765184933
epoch79, acc0.8992195453003053
epoch84, acc0.8988802171700034
epoch89, acc0.9015948422124194
epoch94, acc0.9012555140821175
epoch99, acc0.9019341703427214
epoch0, acc0.9019341703427214, f10.9017757057191041
