pretrain epoch1, loss6.411792113863188, mse0.2055766924188055, ce5.383908699298727, hits412, ndcg0.027243637768872852
pretrain epoch2, loss5.463701198840964, mse0.038790717175037695, ce5.269747602528539, hits564, ndcg0.038301985999890445
pretrain epoch3, loss5.3987618479235415, mse0.03045628309763711, ce5.246480415607321, hits691, ndcg0.042292143443021284
pretrain epoch4, loss5.411449547471671, mse0.03542157895220765, ce5.234341662505577, hits807, ndcg0.04675194152213376
pretrain epoch5, loss5.464027577433093, mse0.047985203628396166, ce5.224101559869174, hits865, ndcg0.04884114360501026
pretrain epoch6, loss5.525380373001099, mse0.0611745774232108, ce5.219507472268466, hits1124, ndcg0.05244674385878546
pretrain epoch7, loss5.503941116661861, mse0.05865590325717268, ce5.210661600375998, hits1252, ndcg0.05703615448598204
pretrain epoch8, loss5.4469981029115875, mse0.053304492335381176, ce5.180475621387877, hits1958, ndcg0.07379875466998281
pretrain epoch9, loss5.30588620284508, mse0.0505658989964888, ce5.053056700476285, hits4906, ndcg0.11978615088195636
pretrain epoch10, loss5.12300000519588, mse0.04818146791437577, ce4.882092681424371, hits8343, ndcg0.17499715372406202
pretrain epoch11, loss4.996647070194113, mse0.04836937110742618, ce4.754800253900989, hits11401, ndcg0.23132766346479283
pretrain epoch12, loss4.741304109836447, mse0.046545455746095754, ce4.50857687818593, hits16427, ndcg0.3165455357781772
pretrain epoch13, loss4.528241494606281, mse0.04485614154616307, ce4.303960775506908, hits20022, ndcg0.37489993561958446
pretrain epoch14, loss4.453033587028241, mse0.04651312408005369, ce4.220467978510364, hits20790, ndcg0.397321492433548
pretrain epoch15, loss4.422019621421551, mse0.04769116723588828, ce4.183563783251006, hits21123, ndcg0.4048886453283244
pretrain epoch16, loss4.38591062611547, mse0.049754150404498494, ce4.1371398876453265, hits21376, ndcg0.41501860937167856
pretrain epoch17, loss4.362881907101335, mse0.05140223681669811, ce4.105870740167026, hits21940, ndcg0.42076519439960347
pretrain epoch18, loss4.36926687996963, mse0.05279762118027128, ce4.105278792052434, hits21751, ndcg0.41936197157563837
pretrain epoch19, loss4.386734148551678, mse0.05506540783520403, ce4.111407127873651, hits21680, ndcg0.4156368410792844
pretrain epoch20, loss4.3988376568103655, mse0.06041601178204191, ce4.096757605158049, hits21931, ndcg0.41959163649328823
pretrain epoch21, loss4.4129693837001405, mse0.06759100368824499, ce4.075014377462453, hits22209, ndcg0.4224579205800747
pretrain epoch22, loss4.408130884170532, mse0.0744907237460901, ce4.035677264476645, hits22697, ndcg0.43170296786160306
pretrain epoch23, loss4.37354642769386, mse0.07807207415843832, ce3.983186072316663, hits23418, ndcg0.44429763278056833
pretrain epoch24, loss4.306807074053534, mse0.07875936311380617, ce3.913010264265126, hits24491, ndcg0.4617833274191824
pretrain epoch25, loss4.256401530627547, mse0.0817268720731653, ce3.8477672009632506, hits25318, ndcg0.47829107888813677
pretrain epoch26, loss4.216340636384898, mse0.08258335562101726, ce3.8034238774200966, hits26161, ndcg0.4908680299232746
pretrain epoch27, loss4.148830500142328, mse0.0839929939087095, ce3.7288655330394875, hits27342, ndcg0.5113904476165771
pretrain epoch28, loss4.056449553062176, mse0.08501726633002019, ce3.6313632110069536, hits28559, ndcg0.5341950069213736
pretrain epoch29, loss4.001849433471417, mse0.08296877209996355, ce3.5870055659063933, hits29214, ndcg0.5443811354965999
pretrain epoch30, loss3.9417000926774124, mse0.08313316781202267, ce3.5260342606182755, hits30064, ndcg0.5588711900957699
pretrain epoch31, loss3.881715934852074, mse0.0839726070006346, ce3.4618529122451256, hits30885, ndcg0.5733963795777025
pretrain epoch32, loss3.814444114421976, mse0.08131535171434798, ce3.4078673453166566, hits31854, ndcg0.5863867134883486
pretrain epoch33, loss3.7760604003380083, mse0.0804298350523258, ce3.3739112327838767, hits32059, ndcg0.5935484695023504
pretrain epoch34, loss3.755318596445281, mse0.07779204845428467, ce3.366358366505853, hits32260, ndcg0.5959617680516737
pretrain epoch35, loss3.772176685004399, mse0.07706960065868394, ce3.3868286815182915, hits31894, ndcg0.5909856095396239
pretrain epoch36, loss3.7284397955598503, mse0.07562640752514889, ce3.3503077564568353, hits32386, ndcg0.6000754093301708
pretrain epoch37, loss3.696714002510597, mse0.07526071215498037, ce3.3204104489293593, hits32669, ndcg0.6067017738161415
pretrain epoch38, loss3.6959821479073884, mse0.07549889726114684, ce3.318487660638217, hits32863, ndcg0.6080941568160879
pretrain epoch39, loss3.667868577200791, mse0.07196029314193232, ce3.3080671080227555, hits33096, ndcg0.6097202506558649
pretrain epoch40, loss3.6657185061224578, mse0.07257090990656409, ce3.3028639554977417, hits33114, ndcg0.6110346430334551
pretrain epoch41, loss3.623434013333814, mse0.07214740278392003, ce3.2626969978727143, hits33945, ndcg0.6217223066708137
pretrain epoch42, loss3.5996853976414123, mse0.06905802191588385, ce3.2543952835017236, hits34189, ndcg0.6227578058325011
pretrain epoch43, loss3.617042224982689, mse0.07011041475524163, ce3.266490159363582, hits33988, ndcg0.6207451522350311
pretrain epoch44, loss3.633658059712114, mse0.0703612878147898, ce3.2818516122883765, hits33981, ndcg0.6173136008196863
pretrain epoch45, loss3.624102962428126, mse0.06893608648458431, ce3.2794225257018517, hits34128, ndcg0.618511811412614
pretrain epoch46, loss3.6188448955272805, mse0.07159742719397463, ce3.2608577670722174, hits34163, ndcg0.6225713532546471
pretrain epoch47, loss3.6297616917511513, mse0.07196445088705113, ce3.269939430828752, hits34182, ndcg0.6206677771847824
pretrain epoch48, loss3.6424342188341865, mse0.06945324881837286, ce3.295167980522945, hits34077, ndcg0.6146978633157139
pretrain epoch49, loss3.6426988387929984, mse0.07203972326784298, ce3.282500217700827, hits34254, ndcg0.6185132645327469
pretrain epoch50, loss3.615214261515387, mse0.07120439808430343, ce3.2591922858665727, hits34698, ndcg0.623910953258646
pretrain epoch51, loss3.5988043752209893, mse0.06974992727668121, ce3.2500547335065644, hits34960, ndcg0.6256235056910021
pretrain epoch52, loss3.5870821722622575, mse0.06979448425358739, ce3.238109748938988, hits34895, ndcg0.6276211481669853
pretrain epoch53, loss3.6225650803796174, mse0.07080759397097702, ce3.268527104936797, hits34562, ndcg0.6203749847823176
pretrain epoch54, loss3.6145052211037996, mse0.07001950482613054, ce3.2644076922844194, hits34691, ndcg0.6220060443056041
pretrain epoch55, loss3.6254479843994667, mse0.07340386850309782, ce3.258428635268376, hits34760, ndcg0.623945422213653
pretrain epoch56, loss3.5943955511882386, mse0.07010074647079254, ce3.2438918269913772, hits35189, ndcg0.6274138072441364
pretrain epoch57, loss3.5865894103872367, mse0.07122832138476701, ce3.2304478143823556, hits35399, ndcg0.6311434784839893
pretrain epoch58, loss3.600290828737719, mse0.07358896481836665, ce3.232346004453199, hits35445, ndcg0.6303812522312691
pretrain epoch59, loss3.5697994972097464, mse0.06933243964509718, ce3.2231372964793237, hits35598, ndcg0.6311804467234118
pretrain epoch60, loss3.5591798486380744, mse0.07037510388884051, ce3.2073043255970397, hits35586, ndcg0.6352348779809887
pretrain epoch61, loss3.5553866419298896, mse0.0712097334065314, ce3.1993379880642068, hits35667, ndcg0.6361285047284488
pretrain epoch62, loss3.5646227269337096, mse0.0709727977498852, ce3.2097587421022613, hits35556, ndcg0.6348164359043384
pretrain epoch63, loss3.5402189534285973, mse0.06968336468883629, ce3.1918021193866073, hits35812, ndcg0.6379382980280909
