epoch4, acc0.09573516254100806
epoch9, acc0.09991052788547569
epoch14, acc0.11452430659111244
epoch19, acc0.10945422010140173
epoch24, acc0.11691022964509394
epoch29, acc0.11452430659111244
epoch34, acc0.10169997017596183
epoch39, acc0.12048911422606622
epoch44, acc0.11512078735460782
epoch49, acc0.12317327766179541
epoch54, acc0.12764688338801072
epoch59, acc0.12466447957053385
epoch64, acc0.12257679689830003
epoch69, acc0.1392782582761706
epoch74, acc0.12019087384431852
epoch79, acc0.1416641813301521
epoch84, acc0.13241872949597375
epoch89, acc0.12108559498956159
epoch94, acc0.1422606620936475
epoch99, acc0.13510289293170294
epoch0, acc0.1422606620936475, f10.13223612449458103
