=============================================
Dataset: HAR
Method:  TS-TCC
Mode:    self_supervised
Seed:    2023
mask:    0.75
lam:     0.1
lr:      0.0001
ft_lt:   0.0001
pre_epo: 100
ft_epo:  200
head:    4
layer:   8
d_head:  2
d_layer: 2
fd_layer:2
=============================================
Data loaded ...
Pre-training started ....
Epoch 1/100: loss: 0.500958263874054, ts loss: 0.30388522148132324, fq loss: 0.1339205801486969, ts_freq loss: 0.4494571387767792, fq_freq loss: 0.18206726014614105

Epoch 2/100: loss: 0.2551979422569275, ts loss: 0.15034689009189606, fq loss: 0.07245893776416779, ts_freq loss: 0.22791020572185516, fq_freq loss: 0.09601105749607086

Epoch 3/100: loss: 0.1905612051486969, ts loss: 0.11970848590135574, fq loss: 0.048463303595781326, ts_freq loss: 0.15701235830783844, fq_freq loss: 0.0668817013502121

Epoch 4/100: loss: 0.19661222398281097, ts loss: 0.12477190047502518, fq loss: 0.05004115030169487, ts_freq loss: 0.15351280570030212, fq_freq loss: 0.06447887420654297

Epoch 5/100: loss: 0.1591082662343979, ts loss: 0.10322058200836182, fq loss: 0.03833611682057381, ts_freq loss: 0.12677763402462006, fq_freq loss: 0.04873809963464737

Epoch 6/100: loss: 0.15539570152759552, ts loss: 0.10142945498228073, fq loss: 0.037316471338272095, ts_freq loss: 0.12084534764289856, fq_freq loss: 0.04565242677927017

Epoch 7/100: loss: 0.14573422074317932, ts loss: 0.09529060870409012, fq loss: 0.03495657816529274, ts_freq loss: 0.1123223751783371, fq_freq loss: 0.04254806786775589

Epoch 8/100: loss: 0.14089128375053406, ts loss: 0.09294246882200241, fq loss: 0.03339433670043945, ts_freq loss: 0.10696356743574142, fq_freq loss: 0.038581255823373795

Epoch 9/100: loss: 0.136360764503479, ts loss: 0.09002140909433365, fq loss: 0.032268401235342026, ts_freq loss: 0.10357455164194107, fq_freq loss: 0.03713487088680267

Epoch 10/100: loss: 0.1327812224626541, ts loss: 0.0879855826497078, fq loss: 0.03058830089867115, ts_freq loss: 0.10470934957265854, fq_freq loss: 0.03736395388841629

