=============================================
Dataset: PhonemeSpectra
Method:  TS-TCC
Mode:    self_supervised
Seed:    2024
mask:    0.75
lam:     0.3
lr:      0.0001
ft_lt:   0.0001
pre_epo: 100
ft_epo:  200
head:    4
layer:   8
d_head:  2
d_layer: 2
fd_layer:2
=============================================
Data loaded ...
Pre-training started ....
Epoch 1/100: loss: 19.06769561767578, ts loss: 7.553589344024658, fq loss: 2.168006181716919, ts_freq loss: 18.400245666503906, fq_freq loss: 12.75341510772705

Epoch 2/100: loss: 18.153295516967773, ts loss: 6.9192280769348145, fq loss: 1.9962834119796753, ts_freq loss: 18.123891830444336, fq_freq loss: 12.668722152709961

Epoch 3/100: loss: 17.842622756958008, ts loss: 6.8126020431518555, fq loss: 1.9732621908187866, ts_freq loss: 17.787681579589844, fq_freq loss: 12.401511192321777

Epoch 4/100: loss: 18.242176055908203, ts loss: 6.9461212158203125, fq loss: 2.0906734466552734, ts_freq loss: 17.93520164489746, fq_freq loss: 12.74940299987793

Epoch 5/100: loss: 17.46508026123047, ts loss: 6.506397724151611, fq loss: 1.8973437547683716, ts_freq loss: 17.699758529663086, fq_freq loss: 12.504700660705566

Epoch 6/100: loss: 16.2869815826416, ts loss: 5.585318088531494, fq loss: 1.6376886367797852, ts_freq loss: 17.612319946289062, fq_freq loss: 12.600933074951172

Epoch 7/100: loss: 15.772353172302246, ts loss: 5.244311332702637, fq loss: 1.519281029701233, ts_freq loss: 17.351865768432617, fq_freq loss: 12.677340507507324

Epoch 8/100: loss: 15.236797332763672, ts loss: 4.855143070220947, fq loss: 1.438789963722229, ts_freq loss: 17.298173904418945, fq_freq loss: 12.51136589050293

Epoch 9/100: loss: 14.902242660522461, ts loss: 4.586888313293457, fq loss: 1.3793673515319824, ts_freq loss: 17.19855308532715, fq_freq loss: 12.588069915771484

Epoch 10/100: loss: 14.687617301940918, ts loss: 4.472214221954346, fq loss: 1.3457717895507812, ts_freq loss: 17.133472442626953, fq_freq loss: 12.431967735290527

Epoch 11/100: loss: 14.678549766540527, ts loss: 4.432740688323975, fq loss: 1.3493483066558838, ts_freq loss: 17.225109100341797, fq_freq loss: 12.429758071899414

Epoch 12/100: loss: 14.653620719909668, ts loss: 4.361051082611084, fq loss: 1.342203974723816, ts_freq loss: 17.202964782714844, fq_freq loss: 12.63158893585205

Epoch 13/100: loss: 14.398673057556152, ts loss: 4.216533660888672, fq loss: 1.2862913608551025, ts_freq loss: 17.09345245361328, fq_freq loss: 12.55937385559082

Epoch 14/100: loss: 14.395885467529297, ts loss: 4.2669677734375, fq loss: 1.297369360923767, ts_freq loss: 16.99868392944336, fq_freq loss: 12.439809799194336

Epoch 15/100: loss: 14.18518352508545, ts loss: 4.152114391326904, fq loss: 1.2339465618133545, ts_freq loss: 16.952476501464844, fq_freq loss: 12.377928733825684

Epoch 16/100: loss: 14.476466178894043, ts loss: 4.320929527282715, fq loss: 1.3198678493499756, ts_freq loss: 17.061809539794922, fq_freq loss: 12.390416145324707

Epoch 17/100: loss: 14.204737663269043, ts loss: 4.126824378967285, fq loss: 1.267754316329956, ts_freq loss: 17.02044105529785, fq_freq loss: 12.346755027770996

Epoch 18/100: loss: 14.251696586608887, ts loss: 4.104212760925293, fq loss: 1.3106063604354858, ts_freq loss: 16.932899475097656, fq_freq loss: 12.523362159729004

Epoch 19/100: loss: 14.065136909484863, ts loss: 4.037106513977051, fq loss: 1.205520510673523, ts_freq loss: 16.987564086914062, fq_freq loss: 12.420802116394043

Epoch 20/100: loss: 14.067124366760254, ts loss: 4.049770832061768, fq loss: 1.1723614931106567, ts_freq loss: 17.090917587280273, fq_freq loss: 12.39238166809082

Epoch 21/100: loss: 14.060898780822754, ts loss: 4.021349906921387, fq loss: 1.1970088481903076, ts_freq loss: 16.950267791748047, fq_freq loss: 12.524857521057129

Epoch 22/100: loss: 14.151573181152344, ts loss: 4.109312057495117, fq loss: 1.2636736631393433, ts_freq loss: 16.95932960510254, fq_freq loss: 12.302628517150879

Epoch 23/100: loss: 13.932158470153809, ts loss: 3.9919888973236084, fq loss: 1.2258238792419434, ts_freq loss: 16.8478946685791, fq_freq loss: 12.199923515319824

Epoch 24/100: loss: 14.055398941040039, ts loss: 4.034905910491943, fq loss: 1.2635164260864258, ts_freq loss: 16.89177894592285, fq_freq loss: 12.298144340515137

Epoch 25/100: loss: 14.055024147033691, ts loss: 4.011227130889893, fq loss: 1.2558255195617676, ts_freq loss: 16.820322036743164, fq_freq loss: 12.472917556762695

Epoch 26/100: loss: 13.892292022705078, ts loss: 3.927535057067871, fq loss: 1.2167201042175293, ts_freq loss: 16.802642822265625, fq_freq loss: 12.357479095458984

Epoch 27/100: loss: 13.784148216247559, ts loss: 3.859407901763916, fq loss: 1.1606574058532715, ts_freq loss: 16.7868595123291, fq_freq loss: 12.426748275756836

Epoch 28/100: loss: 13.830949783325195, ts loss: 3.8922510147094727, fq loss: 1.162441611289978, ts_freq loss: 16.797834396362305, fq_freq loss: 12.456350326538086

Epoch 29/100: loss: 13.771125793457031, ts loss: 3.7878639698028564, fq loss: 1.1892330646514893, ts_freq loss: 16.842578887939453, fq_freq loss: 12.470846176147461

Epoch 30/100: loss: 13.747031211853027, ts loss: 3.8230440616607666, fq loss: 1.1865094900131226, ts_freq loss: 16.76738929748535, fq_freq loss: 12.357531547546387

Epoch 31/100: loss: 13.874711990356445, ts loss: 3.875953435897827, fq loss: 1.1793663501739502, ts_freq loss: 16.83120346069336, fq_freq loss: 12.566771507263184

Epoch 32/100: loss: 13.681562423706055, ts loss: 3.814296245574951, fq loss: 1.18230402469635, ts_freq loss: 16.693490982055664, fq_freq loss: 12.256385803222656

Epoch 33/100: loss: 13.699799537658691, ts loss: 3.7824959754943848, fq loss: 1.1764529943466187, ts_freq loss: 16.7266845703125, fq_freq loss: 12.4094877243042

Epoch 34/100: loss: 13.739166259765625, ts loss: 3.824263572692871, fq loss: 1.163792610168457, ts_freq loss: 16.72293472290039, fq_freq loss: 12.447434425354004

Epoch 35/100: loss: 13.564515113830566, ts loss: 3.698667526245117, fq loss: 1.1460891962051392, ts_freq loss: 16.718568801879883, fq_freq loss: 12.347290992736816

Epoch 36/100: loss: 13.658724784851074, ts loss: 3.7296535968780518, fq loss: 1.1591931581497192, ts_freq loss: 16.73199462890625, fq_freq loss: 12.50092887878418

Epoch 37/100: loss: 13.585771560668945, ts loss: 3.7492668628692627, fq loss: 1.1616466045379639, ts_freq loss: 16.678821563720703, fq_freq loss: 12.237370491027832

Epoch 38/100: loss: 13.603255271911621, ts loss: 3.7213640213012695, fq loss: 1.1481860876083374, ts_freq loss: 16.669309616088867, fq_freq loss: 12.443036079406738

Epoch 39/100: loss: 13.53497314453125, ts loss: 3.700941801071167, fq loss: 1.1477153301239014, ts_freq loss: 16.6436710357666, fq_freq loss: 12.310713768005371

Epoch 40/100: loss: 13.639339447021484, ts loss: 3.712615728378296, fq loss: 1.1909502744674683, ts_freq loss: 16.62681770324707, fq_freq loss: 12.492427825927734

Epoch 41/100: loss: 13.66632080078125, ts loss: 3.7498955726623535, fq loss: 1.1813236474990845, ts_freq loss: 16.658876419067383, fq_freq loss: 12.45812702178955

Epoch 42/100: loss: 13.649764060974121, ts loss: 3.8007071018218994, fq loss: 1.2141900062561035, ts_freq loss: 16.61441421508789, fq_freq loss: 12.168478012084961

Epoch 43/100: loss: 13.469626426696777, ts loss: 3.6842477321624756, fq loss: 1.1673868894577026, ts_freq loss: 16.550233840942383, fq_freq loss: 12.176401138305664

Epoch 44/100: loss: 13.477286338806152, ts loss: 3.657325029373169, fq loss: 1.1558048725128174, ts_freq loss: 16.62505531311035, fq_freq loss: 12.255463600158691

Epoch 45/100: loss: 13.47163200378418, ts loss: 3.63270902633667, fq loss: 1.1481133699417114, ts_freq loss: 16.581581115722656, fq_freq loss: 12.38778305053711

Epoch 46/100: loss: 13.3749418258667, ts loss: 3.605715751647949, fq loss: 1.126020908355713, ts_freq loss: 16.504175186157227, fq_freq loss: 12.30650520324707

Epoch 47/100: loss: 13.411240577697754, ts loss: 3.66416597366333, fq loss: 1.137548565864563, ts_freq loss: 16.547016143798828, fq_freq loss: 12.151403427124023

Epoch 48/100: loss: 13.413683891296387, ts loss: 3.6386003494262695, fq loss: 1.113072395324707, ts_freq loss: 16.54104232788086, fq_freq loss: 12.332324981689453

Epoch 49/100: loss: 13.488044738769531, ts loss: 3.704634189605713, fq loss: 1.1321107149124146, ts_freq loss: 16.60076141357422, fq_freq loss: 12.236903190612793

Epoch 50/100: loss: 13.40527057647705, ts loss: 3.642226457595825, fq loss: 1.1302316188812256, ts_freq loss: 16.5339298248291, fq_freq loss: 12.242112159729004

Epoch 51/100: loss: 13.36658000946045, ts loss: 3.6285760402679443, fq loss: 1.1505389213562012, ts_freq loss: 16.526824951171875, fq_freq loss: 12.098052978515625

Epoch 52/100: loss: 13.47424030303955, ts loss: 3.6879804134368896, fq loss: 1.149823784828186, ts_freq loss: 16.4892635345459, fq_freq loss: 12.298859596252441

